  kategorie   |       art        |     gruppierung     |               sparte               |                                 form_name                                 
 Verträge     | Darlehen         | Immobilie           | Endfällige Darlehen                | contract-loan-credit-creditcontract
 Verträge     | Darlehen         | Immobilie           | Laufzeitzinsdarlehen               | contract-loan-credit-creditcontract
 Verträge     | Darlehen         | Immobilie           | Modernisierung                     | contract-loan-credit-creditcontract
 Verträge     | Darlehen         | Immobilie           | Partiarische Darlehen              | contract-loan-credit-creditcontract
 Verträge     | Darlehen         | Immobilie           | Rollierende Geldmarktdarlehen      | contract-loan-credit-creditcontract
 Verträge     | Darlehen         | Immobilie           | Tilgungsdarlehen                   | contract-loan-credit-creditcontract
 Verträge     | Dienstleistung   | Gebühren            | Gemeindegebühren                   | contract-fees-municipal-municipalcontract
 Verträge     | Dienstleistung   | Gebühren            | Grunderwerbssteuer                 | contract-purchase-realestate-purchasecontract
 Verträge     | Dienstleistung   | Service             | Gärtner                            | contract-service-gardener-gardenercontract
 Verträge     | Dienstleistung   | Service             | Hausmeisterservice                 | contract-service-caretaker-service
 Verträge     | Dienstleistung   | Service             | Hausverwaltung                     | contract-propertymanagement-propertymanagement-propertymanagementcontract
 Verträge     | Dienstleistung   | Service             | Immobilienmakler                   | contract-service-broker-insurancebroker
 Verträge     | Dienstleistung   | Service             | KFZ-Inspektion                     | contract-mobility-car-inspection
 Verträge     | Dienstleistung   | Service             | Mietverwaltung                     | contract-rental-rental-rentalcontract
 Verträge     | Dienstleistung   | Service             | Notar                              | contract-service-notary-notarycontract
 Verträge     | Dienstleistung   | Service             | Reinigung                          | contract-service-cleaning-cleaningcontract
 Verträge     | Dienstleistung   | Service             | Versicherungsmakler                | contract-insurance-broker-brokercontract
 Verträge     | Dienstleistung   | Wartung             | Aufzug                             | contract-telecommunication-telecommunication-telecommunicationcontract2
 Verträge     | Dienstleistung   | Wartung             | Heizung                            | contract-service-service-caretakerservice
 Verträge     | Dienstleistung   | Wartung             | Schornsteinfeger                   | contract-service-chimney-sweeper
 Verträge     | Dienstleistung   | Wartung             | Wärmepumpe                         | contract-service-service-chimneysweeper
 Verträge     | Energie          | Elektrik            | Strom                              | contract-energy-electric-stromcontract
 Verträge     | Energie          | Heizen              | Fernwärme                          | contract-energy-energy-energycontract
 Verträge     | Energie          | Heizen              | Gas                                | contract-energy-energy-energycontract
 Verträge     | Energie          | Heizen              | Öl                                 | contract-energy-energy-energycontract
 Verträge     | Energie          | Photovoltaik        | Strom                              | contract-energy-electric-stromcontract
