Kategorie,Art,Unterkategorie,Sparte,CategoryEntityName,SubCategoryKey,SubCategoryGroupKey,GroupTypeKey,FormName,CombinedKey
"Mobilität","Personenfahrzeug","Auto","Cabrio","mobility","passenger-vehicle","car","convertible","car","mobility-passenger-vehicle-car-convertible"
"Mobilität","Personenfahrzeug","Auto","Coupé","mobility","passenger-vehicle","car","coupe","car","mobility-passenger-vehicle-car-coupe"
"Mobilität","Personenfahrzeug","Auto","CUV","mobility","passenger-vehicle","car","cuv","car","mobility-passenger-vehicle-car-cuv"
"Mobilität","Personenfahrzeug","Auto","Geländewagen","mobility","passenger-vehicle","car","off-road-vehicle","car","mobility-passenger-vehicle-car-off-road-vehicle"
"Mobilität","Personenfahrzeug","Auto","Kleinbus","mobility","passenger-vehicle","car","minibus","car","mobility-passenger-vehicle-car-minibus"
"Mobilität","Personenfahrzeug","Auto","Kleintransporter","mobility","passenger-vehicle","car","small-transporter","car","mobility-passenger-vehicle-car-small-transporter"
"Mobilität","Personenfahrzeug","Auto","Kleinwagen","mobility","passenger-vehicle","car","small-car","car","mobility-passenger-vehicle-car-small-car"
"Mobilität","Personenfahrzeug","Auto","Kombi","mobility","passenger-vehicle","car","station-wagon","car","mobility-passenger-vehicle-car-station-wagon"
"Mobilität","Personenfahrzeug","Auto","Limousine","mobility","passenger-vehicle","car","limousine","car","mobility-passenger-vehicle-car-limousine"
"Mobilität","Personenfahrzeug","Auto","Minivan","mobility","passenger-vehicle","car","minivan","car","mobility-passenger-vehicle-car-minivan"
"Mobilität","Personenfahrzeug","Auto","Pickup","mobility","passenger-vehicle","car","pickup","car","mobility-passenger-vehicle-car-pickup"
"Mobilität","Personenfahrzeug","Auto","Roadstar","mobility","passenger-vehicle","car","roadstar","car","mobility-passenger-vehicle-car-roadstar"
"Mobilität","Personenfahrzeug","Auto","SUV","mobility","passenger-vehicle","car","suv","car","mobility-passenger-vehicle-car-suv"
"Mobilität","Personenfahrzeug","Auto","Transporter","mobility","passenger-vehicle","car","transporter","car","mobility-passenger-vehicle-car-transporter"
"Mobilität","Personenfahrzeug","Auto","Van","mobility","passenger-vehicle","car","van","car","mobility-passenger-vehicle-car-van"
"Mobilität","Personenfahrzeug","Motorrad","Chopper","mobility","passenger-vehicle","motorcycle","chopper","chopper","mobility-passenger-vehicle-motorcycle-chopper"
"Mobilität","Personenfahrzeug","Motorrad","Cruiser","mobility","passenger-vehicle","motorcycle","cruiser","cruiser","mobility-passenger-vehicle-motorcycle-cruiser"
"Mobilität","Personenfahrzeug","Motorrad","Dirt Bike","mobility","passenger-vehicle","motorcycle","dirt-bike","dirt-bike","mobility-passenger-vehicle-motorcycle-dirt-bike"
"Mobilität","Personenfahrzeug","Motorrad","Motocross","mobility","passenger-vehicle","motorcycle","motocross","motocross","mobility-passenger-vehicle-motorcycle-motocross"
"Mobilität","Personenfahrzeug","Motorrad","Naked","mobility","passenger-vehicle","motorcycle","naked","naked","mobility-passenger-vehicle-motorcycle-naked"
"Mobilität","Personenfahrzeug","Motorrad","Srambler","mobility","passenger-vehicle","motorcycle","srambler","srambler","mobility-passenger-vehicle-motorcycle-srambler"
"Mobilität","Personenfahrzeug","Motorrad","Streetfighter","mobility","passenger-vehicle","motorcycle","streetfighter","streetfighter","mobility-passenger-vehicle-motorcycle-streetfighter"
"Mobilität","Personenfahrzeug","Motorrad","Stuntbike","mobility","passenger-vehicle","motorcycle","stuntbike","stuntbike","mobility-passenger-vehicle-motorcycle-stuntbike"
"Mobilität","Personenfahrzeug","Motorrad","Trial","mobility","passenger-vehicle","motorcycle","trial","trial","mobility-passenger-vehicle-motorcycle-trial"
"Mobilität","Personenfahrzeug","Quad","4x4","mobility","passenger-vehicle","quad","quad-4x4","quad","mobility-passenger-vehicle-quad-quad-4x4"
"Mobilität","Personenfahrzeug","Quad","C","mobility","passenger-vehicle","quad","quad-c","quad","mobility-passenger-vehicle-quad-quad-c"
"Mobilität","Personenfahrzeug","Quad","Elektro","mobility","passenger-vehicle","quad","quad-electro","quad","mobility-passenger-vehicle-quad-quad-electro"
"Mobilität","Personenfahrzeug","Quad","Kinder","mobility","passenger-vehicle","quad","quad-children","quad","mobility-passenger-vehicle-quad-quad-children"
"Mobilität","Personenfahrzeug","Quad","Offroad","mobility","passenger-vehicle","quad","quad-offroad","quad","mobility-passenger-vehicle-quad-quad-offroad"
"Mobilität","Personenfahrzeug","Quad","Pocket","mobility","passenger-vehicle","quad","quad-pocket","quad","mobility-passenger-vehicle-quad-quad-pocket"
"Mobilität","Personenfahrzeug","Quad","Renn","mobility","passenger-vehicle","quad","quad-race","quad","mobility-passenger-vehicle-quad-quad-race"
"Mobilität","Personenfahrzeug","Quad","Road","mobility","passenger-vehicle","quad","quad-road","quad","mobility-passenger-vehicle-quad-quad-road"
"Mobilität","Personenfahrzeug","Quad","Side by Side","mobility","passenger-vehicle","quad","quad-side-by-side","quad","mobility-passenger-vehicle-quad-quad-side-by-side"
"Mobilität","Personenfahrzeug","Wohnmobil","mit Alkoven","mobility","passenger-vehicle","camper","alkoven","camper","mobility-passenger-vehicle-camper-alkoven"
"Mobilität","Personenfahrzeug","Wohnmobil","teilintegriert","mobility","passenger-vehicle","camper","semi-integrated","camper","mobility-passenger-vehicle-camper-semi-integrated"
"Mobilität","Personenfahrzeug","Wohnmobil","vollintegriert","mobility","passenger-vehicle","camper","fully-integrated","camper","mobility-passenger-vehicle-camper-fully-integrated"
"Mobilität","Scooter","-","-","mobility","scooter","-","-","-","mobility-scooter-unknown-unknown"
"Verträge","Mietvertrag","Abstellplatz","Garage","contract","rental-contract","put-down-space","garage","contract-lease-lease-leasecontract","contract-rental-contract-put-down-space-garage"
"Verträge","Mietvertrag","Abstellplatz","Parkplatz","contract","rental-contract","put-down-space","parking","contract-lease-lease-leasecontract","contract-rental-contract-put-down-space-parking"
"Verträge","Mietvertrag","Immobilie","Ferienhaus","contract","rental-contract","realestate","holiday-house","contract-lease-lease-leasecontract","contract-rental-contract-realestate-holiday-house"
"Verträge","Mietvertrag","Immobilie","Ferienwohnung","contract","rental-contract","realestate","holiday-apartment","contract-lease-lease-leasecontract","contract-rental-contract-realestate-holiday-apartment"
