Kategorie,Art,Unterkategorie,Sparte,CategoryEntityName,SubCategoryKey,SubCategoryGroupKey,GroupTypeKey,FormName,CombinedKey
"Immobilien","mit Bebauung","Bewirtschaftung","Frucht","realestate","with_development","farmland","fruit","fruit","realestate-with_development-farmland-fruit"
"Immobilien","mit Bebauung","Parkfläche","Garage","realestate","with_development","parking_space","garage","garage","realestate-with_development-parking_space-garage"
"Verträge","Mietvertrag","Abstellplatz","Garage","contract","rental_contract","put_down_space","garage","contract-lease-lease-leasecontract","contract-rental_contract-put_down_space-garage"
"Verträge","Dienstleistung","Service","Gärtner","contract","service","service","gardener","contract-service-gardener-gardenerservicecontract","contract-service-service-gardener"
"Verträge","Energie","Heizen","Gas","contract","energy","heating","gas","energy","contract-energy-heating-gas"
"Verträge","Versicherung","Gewerbe","Gebäude","contract","insurance","business","building","contract-insurance-residential-residentialcontract","contract-insurance-business-building"
"Verträge","Mietvertrag","Immobilie","Gebäude","contract","rental_contract","realestate","building","contract-lease-lease-leasecontract","contract-rental_contract-realestate-building"
"Mobilität","Personenfahrzeug","Auto","Geländewagen","mobility","passenger_vehicle","car","off_road_vehicle","car","mobility-passenger_vehicle-car-off_road_vehicle"
"Verträge","Dienstleistung","Gebühren","Gemeindegebühren","contract","service","fees","municipal_fees","municipal-fees","contract-service-fees-municipal_fees"
"Verträge","Versicherung","Kranken","gesetzliche Krankenversicherung","contract","insurance","health","statutory_health_insurance","contract-insurance-health-healthcontract","contract-insurance-health-statutory_health_insurance"
"Immobilien","mit Bebauung","Gewerbehaus","Gewerbeeinheit","realestate","with_development","commercial_building","commercial_unit","commercial-residential-property","realestate-with_development-commercial_building-commercial_unit"
"Immobilien","mit Bebauung","Gewerbehaus","Gewerbehaus","realestate","with_development","commercial_building","commercial_building","commercial-residential-property","realestate-with_development-commercial_building-commercial_building"
"Finanzkonten","Bank","Bankkonto","Girokonto","financeaccount","bank","bank_account","checking_account","checking-account","financeaccount-bank-bank_account-checking_account"
"Verträge","Versicherung","Sach","Glas","contract","insurance","object","glas","contract-insurance-fire-firecontract","contract-insurance-object-glas"
"Verträge","Medien","Internet","Glasfaser","contract","media","internet","glass_fiber","contract-media-media-mediacontract","contract-media-internet-glass_fiber"
"Finanzkonten","Systeme","Bezahlsysteme","Google Pay","financeaccount","systems","payment_systems","google_pay","contract-creditcard-credit-creditcard","financeaccount-systems-payment_systems-google_pay"
"Mobilität","Fahrrad","Pedelec","Gravel","mobility","bike","pedelec","p_gravel","pedelec","mobility-bike-pedelec-p_gravel"
"Mobilität","Fahrrad","Bike","Gravel","mobility","bike","bike","gravel","bicycle","mobility-bike-bike-gravel"
"Mobilität","Fahrrad","E-Bike","Gravel","mobility","bike","e_bike","e_gravel","ebike","mobility-bike-e_bike-e_gravel"
"Verträge","Kaufvertrag","Immobilie","Grunderwerbssteuer","contract","purchase_contract","realestate","real_estate_tax","contract-sale-sale-salecontract","contract-purchase_contract-realestate-real_estate_tax"
"Verträge","Dienstleistung","Gebühren","Grunderwerbssteuer","contract","service","fees","real_estate_tax","contract-tax-realestate-realestatetaxcontract","contract-service-fees-real_estate_tax"
"Immobilien","mit Bebauung","Halle","Halle","realestate","with_development","hall","hall","commercial-residential-property","realestate-with_development-hall-hall"
"Verträge","Kaufvertrag","Geräte","Handy","contract","purchase_contract","devices","mobile","contract-sale-sale-salecontract","contract-purchase_contract-devices-mobile"
"Verträge","Medien","Mobilfunk","Handy","contract","media","cellular","mobile","contract-media-media-mediacontract","contract-media-cellular-mobile"
