id;name;created_date;translation_key;sub_category_group_id;entity_name;abbreviation;form_name
116;Aufzug;2023-06-13 00:00:00;jaynaApp.contract.group-type.elevator;6;contract;;elevator
117;Wohnungsmietvertrag;2023-06-13 00:00:00;jaynaApp.contract.group-type.apartment-rental-agreement;25;contract;;lease
118;Hausmietvertrag;2023-06-13 00:00:00;jaynaApp.contract.group-type.house-lease;25;contract;;lease
119;Gewerbeeinheit;2023-06-13 00:00:00;jaynaApp.realestate.group-type.commercial-unit;32;realestate;GEWE;commercial-residential-property
120;Gewerbehaus;2023-06-13 00:00:00;jaynaApp.realestate.group-type.commercial-building;32;realestate;GEWH;commercial-residential-property
121;Halle;2023-06-13 00:00:00;jaynaApp.realestate.group-type.hall;33;realestate;HALL;commercial-residential-property
122;Doppelhaushälfte;2023-06-13 00:00:00;jaynaApp.realestate.group-type.semit-detached-house;34;realestate;DHH;commercial-residential-property
123;Einfamilienhaus;2023-06-13 00:00:00;jaynaApp.realestate.group-type.detached-house;34;realestate;EFH;commercial-residential-property
124;Ferienhaus;2023-06-13 00:00:00;jaynaApp.realestate.group-type.vacation-house;34;realestate;FEH;commercial-residential-property
125;Mehrfamilienhaus;2023-06-13 00:00:00;jaynaApp.realestate.group-type.apartment-building;34;realestate;MFH;commercial-residential-property
126;Pflegeeinrichtung;2023-06-13 00:00:00;jaynaApp.realestate.group-type.care-facility;34;realestate;PFE;commercial-residential-property
127;Reihenendhaus;2023-06-13 00:00:00;jaynaApp.realestate.group-type.terraced-end-house;34;realestate;REH;commercial-residential-property
128;Reihenmittelhaus;2023-06-13 00:00:00;jaynaApp.realestate.group-type.terraced-mid-house;34;realestate;RMH;commercial-residential-property
129;Zweifamilienhaus;2023-06-13 00:00:00;jaynaApp.realestate.group-type.two-family-house;34;realestate;ZFH;commercial-residential-property
130;Wohnungen & Gewerbe;2023-06-13 00:00:00;jaynaApp.realestate.group-type.apartments-commercial-mix;35;realestate;PGM;commercial-residential-property
131;Carport;2023-06-13 00:00:00;jaynaApp.realestate.group-type.carport;36;realestate;CARP;carport
132;Garage;2023-06-13 00:00:00;jaynaApp.realestate.group-type.garage;36;realestate;GARA;garage
133;Parkhaus;2023-06-13 00:00:00;jaynaApp.realestate.group-type.parking-house;36;realestate;PARH;parking-house
134;Parkplatz;2023-06-13 00:00:00;jaynaApp.realestate.group-type.parking-space;36;realestate;PARP;parking-space
135;Ackerland;2023-06-13 00:00:00;jaynaApp.realestate.group-type.farmland;37;realestate;ACKE;farmland
136;Forst;2023-06-13 00:00:00;jaynaApp.realestate.group-type.forest;37;realestate;FORS;forest
137;Frucht;2023-06-13 00:00:00;jaynaApp.realestate.group-type.fruit;37;realestate;FRUCH;fruit
138;Weide;2023-06-13 00:00:00;jaynaApp.realestate.group-type.pasture;37;realestate;WEID;pasture
139;Schrebergarten;2023-06-13 00:00:00;jaynaApp.realestate.group-type.allotment-garden;38;realestate;STGA;allotment-garden
140;Bebauungsgrundstück;2023-06-13 00:00:00;jaynaApp.realestate.group-type.building-plot;39;realestate;BBGS;building-plot
141;Wiese;2023-06-13 00:00:00;jaynaApp.realestate.group-type.meadow;39;realestate;WIES;meadow
142;Notar;2023-06-13 00:00:00;jaynaApp.contract.group-type.notary;5;contract;;notary
143;Gemeindegebühren;2023-06-13 00:00:00;jaynaApp.contract.group-type.municipal-fees;40;contract;;municipal-fees
144;Grunderwerbssteuer;2023-06-13 00:00:00;jaynaApp.contract.group-type.real-estate-tax;40;contract;;real-estate-tax
145;Girokonto;2023-06-13 00:00:00;jaynaApp.financeaccount.group-type.checking-account;41;financeaccount;;checking-account
146;Sparkonto;2023-06-13 00:00:00;jaynaApp.financeaccount.group-type.saving-account;41;financeaccount;;saving-account
147;Charge;2023-06-13 00:00:00;jaynaApp.financeaccount.group-type.charge;42;financeaccount;;charge
148;Revolving;2023-06-13 00:00:00;jaynaApp.financeaccount.group-type.revolving;42;financeaccount;;revolving
149;Prepaid;2023-06-13 00:00:00;jaynaApp.financeaccount.group-type.prepaid;42;financeaccount;;prepaid
150;Debit;2023-06-13 00:00:00;jaynaApp.financeaccount.group-type.debit;42;financeaccount;;debit
151;Online Virtuell;2023-06-13 00:00:00;jaynaApp.financeaccount.group-type.online-virtual;42;financeaccount;;online-virtual
152;Paypal;2023-06-13 00:00:00;jaynaApp.financeaccount.group-type.paypal;43;financeaccount;;paypal
153;Samsung;2023-06-13 00:00:00;jaynaApp.financeaccount.group-type.samsung;42;financeaccount;;samung
154;Google Pay;2023-06-13 00:00:00;jaynaApp.financeaccount.group-type.google-pay;43;financeaccount;;google-pay
155;Apple Pay;2023-06-13 00:00:00;jaynaApp.financeaccount.group-type.apple-pay;43;financeaccount;;apple-pay
156;Skrill;2023-06-13 00:00:00;jaynaApp.financeaccount.group-type.skrill;43;financeaccount;;skrill
