id;name;created_date;translation_key;sub_category_group_id;entity_name;abbreviation;form_name;created_by;creation_type
70;freie Verwendung;2023-06-13 00:00:00;jaynaApp.contract.group-type.free-use;15;contract;;credit-contract;system;STATIC
71;Risiko Lebensversicherung;2023-06-13 00:00:00;jaynaApp.contract.group-type.risk-life-insurance;28;contract;;insurance-risk-life;system;STATIC
72;Rentenversicherung Fonds;2023-06-13 00:00:00;jaynaApp.contract.group-type.pension-insurance-fund;28;contract;;insurance-pensionfund;system;STATIC
73;Berufsunfähigkeit;2023-06-13 00:00:00;jaynaApp.contract.group-type.disability-insurance;28;contract;;insurance-disability;system;STATIC
74;Pflegeversicherung;2023-06-13 00:00:00;jaynaApp.contract.group-type.care-insurance;28;contract;;insurance-long-term-care;system;STATIC
75;Rentenversicherung klassisch;2023-06-13 00:00:00;jaynaApp.contract.group-type.pension-insurance;28;contract;;insurance-classic-pension;system;STATIC
76;Pflegetagegeld;2023-06-13 00:00:00;jaynaApp.contract.group-type.daily-care-allowance;28;contract;;insurance-long-term-care-daily;system;STATIC
77;Autotelefon;2023-06-13 00:00:00;jaynaApp.contract.group-type.car-phone;20;contract;;medien;system;STATIC
78;Handy;2023-06-13 00:00:00;jaynaApp.contract.group-type.mobile;20;contract;;medien;system;STATIC
79;Tablet;2023-06-13 00:00:00;jaynaApp.contract.group-type.tablet;20;contract;;medien;system;STATIC
80;Mini;2023-06-13 00:00:00;jaynaApp.contract.group-type.mini-job;2;contract;;employment-contract;system;STATIC
81;Teilzeit;2023-06-13 00:00:00;jaynaApp.contract.group-type.half-time;2;contract;;employment-contract;system;STATIC
82;Vollzeit;2023-06-13 00:00:00;jaynaApp.contract.group-type.full-time;2;contract;;employment-contract;system;STATIC
83;Aushilfe;2023-06-13 00:00:00;jaynaApp.contract.group-type.help;2;contract;;employment-contract;system;STATIC
84;Praktikumsvertrag;2023-06-13 00:00:00;jaynaApp.contract.group-type.internship;2;contract;;employment-contract;system;STATIC
85;Aufhebungsvertrag;2023-06-13 00:00:00;jaynaApp.contract.group-type.termination-agreement;2;contract;;employment-contract;system;STATIC
86;Werkvertrag;2023-06-13 00:00:00;jaynaApp.contract.group-type.work-contract;2;contract;;employment-contract;system;STATIC
87;Strom;2023-06-13 00:00:00;jaynaApp.contract.group-type.electricity;8;contract;;energy;system;STATIC
88;Unfall;2023-06-13 00:00:00;jaynaApp.contract.group-type.accident;29;contract;;insurance-accident;system;STATIC
89;Hausrat;2023-06-13 00:00:00;jaynaApp.contract.group-type.household-goods;29;contract;;insurance-furniture;system;STATIC
90;Wohngebäude;2023-06-13 00:00:00;jaynaApp.contract.group-type.residential-building;29;contract;;insurance-residential;system;STATIC
91;Rechtsschutz;2023-06-13 00:00:00;jaynaApp.contract.group-type.legal-protection;29;contract;;insurance-legal-protection;system;STATIC
92;Privathaftpflicht;2023-06-13 00:00:00;jaynaApp.contract.group-type.personal-liability;29;contract;;insurance-liability;system;STATIC
93;Bauherrenhaftpflicht;2023-06-13 00:00:00;jaynaApp.contract.group-type.builders-liability;29;contract;;insurance-builder-liability;system;STATIC
94;E-Bike & Pedeleg;2023-06-13 00:00:00;jaynaApp.contract.group-type.ebike;29;contract;;insurance-bike;system;STATIC
95;Glas;2023-06-13 00:00:00;jaynaApp.contract.group-type.glas;29;contract;;insurance-glass;system;STATIC
96;Feuer;2023-06-13 00:00:00;jaynaApp.contract.group-type.fire;29;contract;;insurance-fire;system;STATIC
97;Haus- und Grundbesitzerhaftpflicht;2023-06-13 00:00:00;jaynaApp.contract.group-type.homeowner-liability;29;contract;;insurance-homelandowner;system;STATIC
98;Kunst;2023-06-13 00:00:00;jaynaApp.contract.group-type.art;29;contract;;insurance-art;system;STATIC
99;Mietausfall;2023-06-13 00:00:00;jaynaApp.contract.group-type.loss-of-rent;29;contract;;insurance-loss-rent;system;STATIC
100;Photovoltaik;2023-06-13 00:00:00;jaynaApp.contract.group-type.photovoltaic;29;contract;;insurance-photovoltaic;system;STATIC
101;Tier OP;2023-06-13 00:00:00;jaynaApp.contract.group-type.animal-surgery;29;contract;;insurance-animal-surgery;system;STATIC
102;Tierhalterhaftpflicht;2023-06-13 00:00:00;jaynaApp.contract.group-type.animal-owner-liability;29;contract;;insurance-liability-pet;system;STATIC
103;Umweltschadenhaftpflicht;2023-06-13 00:00:00;jaynaApp.contract.group-type.environmental-damage;29;contract;;insurance-environmental-damage;system;STATIC
104;Elementar (Wohngebäude);2023-06-13 00:00:00;jaynaApp.contract.group-type.elementary;29;contract;;insurance-elementary;system;STATIC
105;Versicherungsmakler;2023-06-13 00:00:00;jaynaApp.contract.group-type.insurance-broker;5;contract;;insurance-broker;system;STATIC
106;Hausmeisterservice;2023-06-13 00:00:00;jaynaApp.contract.group-type.caretaker-service;5;contract;;caretaker-service;system;STATIC
107;Reinigung;2023-06-13 00:00:00;jaynaApp.contract.group-type.cleaning;5;contract;;cleaning;system;STATIC
108;Immobilienmakler;2023-06-13 00:00:00;jaynaApp.contract.group-type.real-estate-agent;5;contract;;real-estate-agent;system;STATIC
109;Gärtner;2023-06-13 00:00:00;jaynaApp.contract.group-type.gardener;5;contract;;gardener;system;STATIC
110;KFZ-Inspektion;2023-06-13 00:00:00;jaynaApp.contract.group-type.car-inspection;5;contract;;car-inspection;system;STATIC
111;Filme / Serien;2023-06-13 00:00:00;jaynaApp.contract.group-type.movies-series;21;contract;;medien;system;STATIC
112;Musik;2023-06-13 00:00:00;jaynaApp.contract.group-type.music;21;contract;;medien;system;STATIC
113;Heizung;2023-06-13 00:00:00;jaynaApp.contract.group-type.heating;6;contract;;heating;system;STATIC
114;Wärmepumpe;2023-06-13 00:00:00;jaynaApp.contract.group-type.heat-pump;6;contract;;heat-pump;system;STATIC
